Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,112805,,2977,,77842,Africa,1
Angola,20759,,504,,19307,Africa,1
Benin,5434,,70,,4248,Africa,1
Botswana,28371,,310,,23244,Africa,1
Burkina Faso,11939,,142,,11404,Africa,1
Burundi,2143,,3,,773,Africa,1
Cabo Verde,15253,,146,,14754,Africa,1
Cameroon,35714,,551,,32594,Africa,1
Central African Republic,5004,,63,,4920,Africa,1
Chad,3957,,138,,3450,Africa,1
Comoros,3558,,144,,3255,Africa,1
DR Congo,25792,101,707,,18951,Africa,0
Djibouti,6062,,63,,5894,Africa,1
Egypt,181241,,10590,,139927,Africa,1
Equatorial Guinea,6005,48,91,,5622,Africa,0
Eritrea,2847,,7,,2253,Africa,1
Eswatini,16972,,650,,14241,Africa,1
Ethiopia,157047,,2340,,134561,Africa,1
Gabon,14564,,83,,13143,Africa,1
Gambia,4691,,148,,4089,Africa,1
Ghana,82586,,594,,76573,Africa,1
Guinea,15894,,89,,14879,Africa,1
Guinea-Bissau,3241,,48,,2597,Africa,1
Ivory Coast,32478,,190,,31431,Africa,1
Kenya,105467,,1853,,86521,Africa,1
Lesotho,10491,,292,,3745,Africa,1
Liberia,2010,,85,,1884,Africa,1
Libya,132458,,2174,,119492,Africa,1
Madagascar,19831,,297,,19296,Africa,1
Malawi,31675,,1037,,18183,Africa,1
Mali,8358,,350,,6355,Africa,1
Mauritania,17187,,439,,16534,Africa,1
Mauritius,610,,10,,571,Africa,1
Mayotte,16861,,107,,2964,Africa,1
Morocco,482994,,8608,,468387,Africa,1
Mozambique,58218,,613,,39806,Africa,1
Namibia,38424,,418,,35994,Africa,1
Niger,4740,,172,,4250,Africa,1
Nigeria,155076,,1902,,132544,Africa,1
Rwanda,18689,,258,,17302,Africa,1
Réunion,12416,,52,,11270,Africa,1
Senegal,34255,224,866,8,28611,Africa,0
Seychelles,2592,,11,,2263,Africa,1
Sierra Leone,3884,,79,,2612,Africa,1
Somalia,6687,,223,,3784,Africa,1
South Africa,1510778,,49784,,1426417,Africa,1
South Sudan,7771,174,93,3,4217,Africa,0
Sudan,28303,,1878,,22863,Africa,1
São Tomé and Príncipe,1745,,28,,1336,Africa,1
Tanzania,509,,21,,183,Africa,1
Togo,6730,,82,,5522,Africa,1
Tunisia,231964,,7942,,196945,Africa,1
Uganda,40322,,334,,14616,Africa,1
Western Sahara,10,,1,,8,Africa,1
Zambia,78202,563,1081,15,73609,Africa,0
Zimbabwe,36044,,1463,,32539,Africa,1
