Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,154180,,7171,,118180,Asia,0
Armenia,249146,,5018,,233105,Asia,0
Azerbaijan,461249,,6134,,412469,Asia,0
Bahrain,273835,,1388,,271485,Asia,0
Bangladesh,1532366,,26972,,1482933,Asia,0
Bhutan,2596,,3,,2586,Asia,1
Brunei,4323,,21,,2754,Asia,0
Cambodia,100133,,2049,,94326,Asia,0
China,95340,92,4636,,89894,Asia,0
Cyprus,116368,,532,,90755,Asia,0
Georgia,581815,,8233,,545961,Asia,0
Hong Kong,12147,,212,,11846,Asia,0
India,33288021,,443247,,32476647,Asia,0
Indonesia,4170088,,139165,,3931227,Asia,0
Iran,5318327,,114759,,4597215,Asia,0
Iraq,1954969,,21550,,1828868,Asia,0
Israel,1184053,,7406,,1094643,Asia,0
Japan,1639545,,16797,,1495501,Asia,0
Jordan,808470,,10557,,785702,Asia,0
Kazakhstan,842587,,10354,,762049,Asia,0
Kuwait,410842,,2432,,407262,Asia,0
Kyrgyzstan,177226,,2574,,171523,Asia,0
Laos,17555,,16,,5568,Asia,0
Lebanon,613982,,8202,,573295,Asia,0
Macao,63,,,,63,Asia,0
Malaysia,1995771,,21124,,1746523,Asia,0
Maldives,82950,,227,,80774,Asia,0
Mongolia,257770,,1046,,230716,Asia,0
Myanmar,434106,,16617,,383440,Asia,0
Nepal,778312,,10965,,740717,Asia,0
Oman,303163,,4089,,293343,Asia,0
Pakistan,1207508,,26787,,1090176,Asia,0
Palestine,372108,,3831,,336459,Asia,0
Philippines,2248071,,35307,,2032471,Asia,0
Qatar,234773,,604,,232269,Asia,0
Saudi Arabia,546067,,8628,,535144,Asia,0
Singapore,69582,,36,,62212,Asia,1
South Korea,275910,1495,2367,7,247647,Asia,0
Sri Lanka,488482,,11431,,414295,Asia,0
Syria,29648,,2083,,22792,Asia,0
Taiwan,16093,,839,,15019,Asia,0
Tajikistan,17084,,124,,16948,Asia,0
Thailand,1406542,11786,14621,136,1262896,Asia,0
Timor-Leste,18597,,96,,15489,Asia,0
Turkey,6682864,,60117,,6172714,Asia,0
UAE,729518,,2064,,720653,Asia,0
Uzbekistan,164890,,1159,,157139,Asia,0
Vietnam,624547,,15660,,385778,Asia,0
Yemen,8452,,1604,,5266,Asia,0
