Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,43851,223,1645,7,35295,Asia,1
Albania,29126,,637,,13804,Europe,1
Algeria,69591,,2186,,45148,Africa,1
Andorra,5951,,76,,4965,Europe,1
Angola,13818,,328,,6582,Africa,1
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,134,,4,,127,North America,1
Argentina,1329005,,36106,,1148833,South America,1
Armenia,120459,1589,1839,28,80069,Asia,1
Aruba,4676,,44,,4547,North America,1
Australia,27777,17,907,,25506,Australia/Oceania,1
Austria,214597,,1945,,136487,Europe,1
Azerbaijan,79158,,1005,,56894,Asia,1
Bahamas,7312,,163,,5424,North America,1
Bahrain,85008,,337,,82900,Asia,1
Bangladesh,436684,,6254,,352895,Asia,1
Barbados,250,,7,,238,North America,1
Belarus,116699,,1060,,97318,Europe,1
Belgium,540605,2734,14839,223,33687,Europe,1
Belize,4920,37,96,2,2660,North America,1
Benin,2884,,43,,2579,Africa,1
Bermuda,223,,9,,189,North America,1
Bhutan,378,1,,,356,Asia,0
Bolivia,143473,102,8866,7,117789,South America,1
Bosnia and Herzegovina,73944,,2042,,38660,Europe,1
Botswana,9103,,30,,6801,Africa,1
Brazil,5911758,,166743,,5361592,South America,1
British Virgin Islands,71,,1,,70,North America,1
Brunei,148,,3,,145,Asia,0
Bulgaria,106598,,2413,,31536,Europe,1
Burkina Faso,2652,,68,,2454,Africa,1
Burundi,631,,1,,549,Africa,1
Cabo Verde,9960,,103,,9438,Africa,1
Cambodia,304,1,,,291,Asia,0
Cameroon,22896,,433,,21510,Africa,1
Canada,306468,,11086,,244152,North America,0
Caribbean Netherlands,157,,3,,151,North America,1
Cayman Islands,257,,2,,241,North America,1
Central African Republic,4900,,63,,1924,Africa,1
Chad,1608,,101,,1450,Africa,1
Channel Islands,1046,,48,,818,Europe,1
Chile,533610,,14883,,509401,South America,1
China,86369,8,4634,,81411,Asia,1
Colombia,1211128,,34381,,1118902,South America,1
Comoros,591,,7,,558,Africa,1
Costa Rica,125590,,1578,,77558,North America,1
Croatia,87464,,1113,,70980,Europe,1
Cuba,7667,,131,,7113,North America,1
Curaçao,1415,,2,,946,North America,1
Cyprus,7513,,40,,2021,Asia,1
Czechia,469769,,6558,,353794,Europe,1
DR Congo,11866,,322,,11180,Africa,1
Denmark,64551,,768,,49961,Europe,1
Djibouti,5656,,61,,5548,Africa,1
Dominica,68,,,,41,North America,0
Dominican Republic,134697,,2290,,110761,North America,1
Ecuador,181104,,13025,,160639,South America,1
Egypt,111284,,6481,,101288,Africa,1
El Salvador,36669,,1056,4,33064,North America,1
Equatorial Guinea,5121,,85,,4975,Africa,1
Eritrea,518,,,,451,Africa,0
Estonia,8304,274,85,1,5120,Europe,0
Eswatini,6124,,119,,5812,Africa,1
Ethiopia,103395,,1588,,64293,Africa,1
Falkland Islands,15,,,,13,South America,0
Faroe Islands,498,,,,495,Europe,0
Fiji,35,,2,,32,Australia/Oceania,1
Finland,19647,,371,,14000,Europe,1
France,2036755,,46273,,143152,Europe,0
French Guiana,10900,,70,,9995,South America,1
French Polynesia,12362,,61,,4842,Australia/Oceania,1
Gabon,9084,,58,,8957,Africa,1
Gambia,3705,,122,,3576,Africa,1
Georgia,89395,3443,815,37,71468,Asia,1
Germany,833732,,13248,,530200,Europe,1
Ghana,50376,,323,,48626,Africa,1
Gibraltar,915,,2,,775,Europe,1
Greece,78825,,1228,,9989,Europe,0
Greenland,18,,,,17,North America,0
Grenada,33,,,,29,North America,0
Guadeloupe,8225,,143,,2242,North America,1
Guatemala,115730,,3947,,105355,North America,1
Guinea,12654,,75,,11386,Africa,1
Guinea-Bissau,2419,,43,,2255,Africa,1
Guyana,4890,,140,,3930,South America,1
Haiti,9191,,232,,7820,North America,1
Honduras,103488,249,2839,,45082,North America,1
