Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Afghanistan,37054,,1312,,25960,Asia,True
Armenia,40185,,785,,32395,Asia,True
Azerbaijan,33481,,488,,30056,Asia,True
Bahrain,43629,,161,,40549,Asia,True
Bangladesh,255113,,3365,,146604,Asia,True
Bhutan,108,,,,96,Asia,False
Brunei,142,,3,,138,Asia,False
Cambodia,248,2,,,217,Asia,False
China,84619,23,4634,,79168,Asia,True
Cyprus,1233,,19,,856,Asia,True
Georgia,1216,,17,,996,Asia,True
Hong Kong,4008,,47,,2755,Asia,True
India,2152020,,43453,,1479804,Asia,True
Indonesia,123503,,5658,,79306,Asia,True
Iran,324692,,18264,,282122,Asia,True
Iraq,147389,,5310,,105504,Asia,True
Israel,82324,,593,,57071,Asia,True
Japan,45439,,1039,,31307,Asia,True
Jordan,1246,,11,,1178,Asia,True
Kazakhstan,97829,,1058,,71609,Asia,True
Kuwait,71199,,474,,62806,Asia,True
Kyrgyzstan,39571,,1459,,31062,Asia,True
Laos,20,,,,19,Asia,False
Lebanon,6223,,78,,2043,Asia,True
Macao,46,,,,46,Asia,False
Malaysia,9070,,125,,8775,Asia,True
Maldives,4898,,19,,2791,Asia,True
Mongolia,293,,,,260,Asia,False
Myanmar,359,,6,,311,Asia,True
Nepal,22592,,73,,16313,Asia,True
Oman,81357,,509,,73481,Asia,True
Pakistan,283487,,6068,,259604,Asia,True
Palestine,13928,,96,,7706,Asia,True
Philippines,126885,,2209,,67117,Asia,True
Qatar,112650,,182,,109438,Asia,True
Saudi Arabia,287262,,3130,,250440,Asia,True
Singapore,54929,,27,,48583,Asia,True
South Korea,14598,36,305,1,13642,Asia,True
Sri Lanka,2841,,11,,2576,Asia,True
Syria,1125,,50,,331,Asia,True
Taiwan,479,,7,,443,Asia,True
Tajikistan,7706,,62,,6484,Asia,True
Thailand,3348,,58,,3150,Asia,True
Timor-Leste,25,,,,24,Asia,False
Turkey,239622,,5829,,222656,Asia,True
UAE,62300,,356,,56245,Asia,True
Uzbekistan,29652,,187,,21006,Asia,True
Vietnam,812,,10,,395,Asia,True
Yemen,1797,,512,,910,Asia,True
