Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,28975,5,909,,26175,Australia/Oceania,0
Fiji,59,,2,,54,Australia/Oceania,1
French Polynesia,18387,,139,,4842,Australia/Oceania,1
Marshall Islands,4,,,,4,Australia/Oceania,0
Micronesia,1,,,,1,Australia/Oceania,0
New Caledonia,58,,,,55,Australia/Oceania,0
New Zealand,2378,2,26,,2285,Australia/Oceania,0
Papua New Guinea,1275,,12,,846,Australia/Oceania,1
Samoa,3,,,,2,Australia/Oceania,0
Solomon Islands,18,,,,14,Australia/Oceania,0
Vanuatu,1,,,,1,Australia/Oceania,0
Wallis and Futuna,9,,,,7,Australia/Oceania,0
