Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,109,,,,109,North America,0
Antigua and Barbuda,1263,,42,,1214,North America,1
Aruba,11072,3,107,,10950,North America,0
Bahamas,12092,40,236,2,11081,North America,0
Barbados,4033,,47,,3968,North America,0
Belize,12938,14,325,,12463,North America,0
Bermuda,2497,,33,,2455,North America,1
British Virgin Islands,248,,1,,209,North America,1
Canada,1399716,1441,25886,13,1355419,North America,0
Caribbean Netherlands,1617,,17,,1598,North America,1
Cayman Islands,592,,2,,578,North America,1
Costa Rica,339900,1852,4322,24,261195,North America,0
Cuba,154866,1288,1065,8,147553,North America,0
Curaçao,12293,2,123,,12140,North America,0
Dominica,189,1,,,188,North America,0
Dominican Republic,306698,1129,3700,5,249637,North America,0
El Salvador,75351,,2288,4,70150,North America,0
Greenland,43,,,,40,North America,0
Grenada,161,,1,,160,North America,1
Guadeloupe,16608,,225,,2250,North America,1
Guatemala,269308,1861,8416,28,244416,North America,0
Haiti,16206,127,349,3,12560,North America,0
Honduras,244295,828,6567,8,87302,North America,0
Jamaica,49179,69,990,1,27201,North America,0
Martinique,12110,,98,,98,North America,1
Mexico,2445538,3672,229578,225,1948268,North America,0
Montserrat,20,,1,,19,North America,1
Nicaragua,7662,,188,,4225,North America,1
Panama,386269,916,6427,8,371015,North America,0
Saint Barthelemy,1005,,1,,462,North America,1
Saint Kitts and Nevis,83,,,,51,North America,0
Saint Lucia,5168,8,80,,4968,North America,0
Saint Martin,2040,,12,,1399,North America,1
Saint Pierre and Miquelon,25,,,,25,North America,0
Saint Vincent and the Grenadines,2132,,12,,1889,North America,1
Trinidad and Tobago,28106,300,644,14,18009,North America,0
Turks and Caicos,2421,,18,,2387,North America,1
USA,34306446,16145,614738,421,28346324,North America,0
