Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Anguilla,109,,,,109,North America,0
Antigua and Barbuda,1263,,42,,1214,North America,1
Aruba,11069,,107,,10934,North America,1
Bahamas,12092,40,236,2,11081,North America,0
Barbados,4033,,47,,3965,North America,1
Belize,12924,,325,,12460,North America,1
Bermuda,2497,,33,,2455,North America,1
British Virgin Islands,248,,1,,209,North America,1
Canada,1398275,,25873,,1353147,North America,1
Caribbean Netherlands,1617,,17,,1598,North America,1
Cayman Islands,592,,2,,578,North America,1
Costa Rica,338048,,4298,,259872,North America,1
Cuba,154866,1288,1065,8,147553,North America,0
Curaçao,12291,,123,,12140,North America,1
Dominica,189,1,,,188,North America,0
Dominican Republic,306698,1129,3700,5,249637,North America,0
El Salvador,75351,,2288,4,70150,North America,0
Greenland,43,,,,40,North America,0
Grenada,161,,1,,160,North America,1
Guadeloupe,16608,,225,,2250,North America,1
Guatemala,267447,,8388,,243191,North America,1
Haiti,16079,,346,,12558,North America,1
Honduras,244295,828,6567,8,87302,North America,0
Jamaica,49179,69,990,1,27201,North America,0
Martinique,12110,,98,,98,North America,1
Mexico,2445538,3672,229578,225,1948268,North America,0
Montserrat,20,,1,,19,North America,1
Nicaragua,7662,,188,,4225,North America,1
Panama,385353,,6419,,370485,North America,1
Saint Barthelemy,1005,,1,,462,North America,1
Saint Kitts and Nevis,83,,,,51,North America,0
Saint Lucia,5160,,80,,4960,North America,1
Saint Martin,2040,,12,,1399,North America,1
Saint Pierre and Miquelon,25,,,,25,North America,0
Saint Vincent and the Grenadines,2132,,12,,1889,North America,1
Trinidad and Tobago,27806,,630,,17566,North America,1
Turks and Caicos,2421,,18,,2387,North America,1
USA,34277156,1373,614082,75,28278837,North America,0
