Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,133388,318,3571,6,92852,Africa,0
Angola,36705,105,831,6,30282,Africa,0
Benin,8109,,102,,7979,Africa,1
Botswana,59480,,896,,55617,Africa,1
Burkina Faso,13459,,167,,13272,Africa,1
Burundi,4995,,8,,773,Africa,1
Cabo Verde,31571,,273,,30316,Africa,1
Cameroon,80090,,1310,,77305,Africa,1
Central African Republic,7101,,98,,6859,Africa,1
Chad,4942,,174,,4767,Africa,1
Comoros,3899,,146,,3736,Africa,1
DR Congo,35228,279,834,,27825,Africa,0
Djibouti,11572,,154,,11401,Africa,1
Egypt,272491,,15582,,200273,Africa,1
Equatorial Guinea,8650,,120,,8413,Africa,1
Eritrea,4848,,16,,4278,Africa,1
Eswatini,18732,,676,,17943,Africa,1
Ethiopia,274187,159,4242,5,250664,Africa,0
Gabon,24736,,156,,23741,Africa,1
Gambia,6008,,180,,5813,Africa,1
Ghana,94493,,789,,92589,Africa,1
Guinea,23389,,167,,21452,Africa,1
Guinea-Bissau,3802,,69,,3545,Africa,1
Ivory Coast,47662,,306,,47178,Africa,1
Kenya,175337,161,3410,14,120208,Africa,0
Lesotho,10859,,326,,6443,Africa,1
Liberia,2484,,93,,2065,Africa,1
Libya,189059,297,3161,3,174666,Africa,0
Madagascar,41933,39,887,5,40239,Africa,0
Malawi,34485,,1159,,32725,Africa,1
Mali,14350,1,523,,9959,Africa,0
Mauritania,20040,,475,,19092,Africa,1
Mauritius,1673,77,18,,1247,Africa,0
Mayotte,20176,,173,,2964,Africa,1
Morocco,523890,270,9211,4,511126,Africa,0
Mozambique,71538,77,841,1,69881,Africa,0
Namibia,65089,884,995,2,54535,Africa,0
Niger,5446,,192,,5161,Africa,1
Nigeria,167059,,2117,,163436,Africa,1
Rwanda,28373,227,370,,26341,Africa,0
Réunion,27235,,212,,25088,Africa,1
Saint Helena,2,,,,2,Africa,0
Senegal,41998,46,1154,3,40536,Africa,0
Seychelles,12973,,46,,11634,Africa,1
Sierra Leone,4388,39,82,,3181,Africa,0
Somalia,14779,,774,,7016,Africa,1
South Africa,1747082,7657,57765,59,1606581,Africa,0
South Sudan,10688,,115,,10514,Africa,1
Sudan,36304,26,2732,1,29994,Africa,0
São Tomé and Príncipe,2358,1,37,,2307,Africa,0
Tanzania,509,,21,,183,Africa,1
Togo,13620,23,126,,13301,Africa,0
Tunisia,368908,1861,13515,79,321485,Africa,0
Uganda,61977,1727,428,5,48160,Africa,0
Western Sahara,10,,1,,8,Africa,1
Zambia,111746,1414,1389,24,97756,Africa,0
Zimbabwe,39959,107,1632,,37004,Africa,0
