Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Afghanistan,4.75960741690577,2.1072099696478683,3.4034637013453173,0.47712125471966244,4.716111903685834,Asia,0
Albania,5.108963958431595,,3.3656751404559175,,4.992416536629091,Europe,1
Algeria,5.074249440672493,,3.496098992132571,,4.917526514823615,Africa,1
Andorra,4.099715162351024,,2.0827853703164503,,4.075181854618692,Europe,1
Angola,4.371972469694093,,2.74350976472843,,4.344254692556935,Africa,1
Anguilla,1.3979400086720377,,,,1.3424226808222062,North America,0
Antigua and Barbuda,3.0784568180532927,,1.4771212547196624,,2.9722028383790646,North America,1
Argentina,6.4068804998710025,,4.763105897206912,,6.35162703816452,South America,1
Armenia,5.30974298418093,2.8609366207000937,3.576916955965207,1.3424226808222062,5.264014579980978,Asia,0
Aruba,4.003288158826075,,1.9637878273455553,,3.9762582492570453,North America,1
Australia,4.468731230635349,0.8450980400142568,2.9590413923210934,0.0,4.420961881120924,Australia/Oceania,0
Austria,5.764372679042319,3.3641756327706194,3.9889155205126867,1.6232492903979006,5.733827778472523,Europe,0
Azerbaijan,5.461800057158162,3.390405156480081,3.5996647787884166,1.5314789170422551,5.404426588499824,Asia,0
Bahamas,3.975891136401793,,2.278753600952829,,3.9476787399369364,North America,1
Bahrain,5.197911549905252,,2.749736315569061,,5.164213026148668,Asia,1
Bangladesh,5.843846089546905,3.780173243642594,3.9952402018628153,1.8388490907372552,5.76787241731371,Asia,0
Barbados,3.5721743136130595,,1.6434526764861874,,3.5578679615680224,North America,1
Belarus,5.528447460225508,2.877371345869774,3.375297738217339,1.0,5.515672538645776,Europe,0
Belgium,5.967187006155518,3.243781916093795,4.371123300581949,1.4771212547196624,4.777231019475299,Europe,0
Belize,4.097014231178033,,2.5024271199844326,,4.084003990608029,North America,1
Benin,3.875928984922927,,1.968482948553935,,3.809694358716924,Africa,1
Bermuda,3.2814878879400813,1.3222192947339193,1.2041199826559248,,3.015778756389041,North America,0
Bhutan,2.964259630196849,,0.0,,2.942008053022313,Asia,1
Bolivia,5.451915323593013,2.9951962915971793,4.0958316249383335,1.255272505103306,5.366277233986779,South America,0
Bosnia and Herzegovina,5.2664621927132975,,3.874307833128039,,5.1510693874132825,Europe,1
Botswana,4.637929805023515,,2.821513528404773,,4.590206306242624,Africa,1
Brazil,7.1310219496707985,,5.5502662757062105,,7.077624699089865,South America,1
British Virgin Islands,2.250420002308894,,0.0,,2.2013971243204513,North America,1
Brunei,2.3404441148401185,,0.47712125471966244,,2.3138672203691533,Asia,0
Bulgaria,5.574164430951519,,4.164917666100957,,5.461432492194209,Europe,1
Burkina Faso,4.113575716800568,,2.184691430817599,,4.1013001804676845,Africa,1
Burundi,3.498861688992884,,0.7781512503836436,,2.888179493918325,Africa,1
Cabo Verde,4.2812606870550125,,2.2648178230095364,,4.240524288112364,Africa,1
Cambodia,3.671728088239558,2.2576785748691846,1.5185139398778875,0.47712125471966244,3.3525683861793087,Asia,0
Cameroon,4.790503312297812,,2.9633155113861114,,4.75531066846008,Africa,1
Canada,6.02979595884288,,4.36839846657925,,5.987900774236815,North America,0
Caribbean Netherlands,3.1815577738627865,,1.146128035678238,,3.144885418287142,North America,1
Cayman Islands,2.7126497016272113,,0.3010299956639812,,2.6875289612146345,North America,1
Central African Republic,3.7396514437093766,,1.8692317197309762,,3.7038070652743285,Africa,1
Chad,3.66661156841903,,2.2227164711475833,,3.6332664111554247,Africa,1
Channel Islands,3.607562243183588,,1.9344984512435677,,3.5972562829251418,Europe,1
Chile,6.034596374592218,,4.3888646325755944,,6.005568286183642,South America,1
China,4.956336542921034,0.9542425094393249,3.6661434272915585,,4.931996590464609,Asia,0
Colombia,6.407040097651899,,4.820569238526894,,6.379438415099576,South America,1
Comoros,3.578524605274993,,2.164352855784437,,3.5535189401489697,Africa,1
Costa Rica,5.347415889779997,,3.479719235439571,,5.289499765873857,North America,1
Croatia,5.469636481082398,3.286905352972375,3.803320523578754,1.3979400086720377,5.441569462636323,Europe,0
Cuba,4.941436890571359,,2.6693168805661123,,4.913283901760418,North America,1
Curaçao,4.0563330349511615,,1.8325089127062364,,3.8353734524700087,North America,1
