Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,115970,,3053,,80455,Africa,1
Angola,21642,,524,,20065,Africa,1
Benin,6818,,90,,5552,Africa,1
Botswana,35493,,458,,31128,Africa,1
Burkina Faso,12450,,145,,11998,Africa,1
Burundi,2563,,3,,773,Africa,1
Cabo Verde,16374,,159,,15699,Africa,1
Cameroon,40622,,601,,35261,Africa,1
Central African Republic,5075,,64,,4938,Africa,1
Chad,4395,,157,,3888,Africa,1
Comoros,3665,,146,,3471,Africa,1
DR Congo,27356,,726,,24361,Africa,1
Djibouti,6501,,63,,6040,Africa,1
Egypt,194127,,11512,,149256,Africa,1
Equatorial Guinea,6666,,100,,6121,Africa,1
Eritrea,3118,,7,,2865,Africa,1
Eswatini,17274,,664,,15981,Africa,1
Ethiopia,183863,,2618,,145687,Africa,1
Gabon,17711,,106,,15495,Africa,1
Gambia,5153,,160,,4760,Africa,1
Ghana,89008,,713,,84952,Africa,0
Guinea,18562,,108,,15862,Africa,1
Guinea-Bissau,3536,,55,,2824,Africa,1
Ivory Coast,39434,,216,,36152,Africa,1
Kenya,118889,,1982,,89388,Africa,1
Lesotho,10535,,309,,3922,Africa,1
Liberia,2042,,85,,1899,Africa,1
Libya,150341,,2487,,137073,Africa,1
Madagascar,22113,,340,,20851,Africa,1
Malawi,33174,,1092,,27847,Africa,1
Mali,9191,,367,,6603,Africa,1
Mauritania,17570,,446,,16863,Africa,1
Mauritius,793,,10,,592,Africa,1
Mayotte,19006,,151,,2964,Africa,1
Morocco,491019,,8755,,478386,Africa,1
Mozambique,65799,,740,,52391,Africa,1
Namibia,41965,,486,,39221,Africa,1
Niger,4911,,185,,4537,Africa,1
Nigeria,161539,,2027,,147581,Africa,1
Rwanda,20681,,287,,19143,Africa,1
Réunion,13801,,71,,12389,Africa,1
Senegal,37541,,1003,,33931,Africa,1
Seychelles,3616,,16,,3055,Africa,1
Sierra Leone,3947,,79,,2789,Africa,1
Somalia,9925,,414,,4420,Africa,1
South Africa,1535423,,52035,,1461196,Africa,1
South Sudan,9849,40,106,,8215,Africa,0
Sudan,29135,,1959,,23583,Africa,1
São Tomé and Príncipe,2123,,34,,1935,Africa,1
Tanzania,509,,21,,183,Africa,1
Togo,8695,,102,,7131,Africa,1
Tunisia,244776,,8506,,211561,Africa,1
Uganda,40651,,334,,15133,Africa,1
Western Sahara,10,,1,,8,Africa,1
Zambia,86059,,1178,,82714,Africa,1
Zimbabwe,36652,,1510,,34249,Africa,1
