Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Albania,132449,,2453,,129826,Europe,1
Andorra,13813,,127,,13591,Europe,1
Austria,648620,233,10661,9,633939,Europe,0
Belarus,404740,,2969,,397587,Europe,1
Belgium,1075765,777,25081,6,992815,Europe,0
Bosnia and Herzegovina,204597,,9479,,177122,Europe,1
Bulgaria,420294,,17898,,389402,Europe,1
Channel Islands,4088,,86,,3956,Europe,1
Croatia,358504,,8132,,349244,Europe,1
Czechia,1665097,74,30225,1,1629379,Europe,0
Denmark,289559,,2525,,277448,Europe,1
Estonia,130510,37,1266,,125753,Europe,0
Faroe Islands,755,,1,,719,Europe,1
Finland,93821,47,964,,46000,Europe,0
France,5737810,,110407,,5493259,Europe,1
Germany,3722295,,90456,,3576800,Europe,0
Gibraltar,4310,,94,,4201,Europe,1
Greece,414636,,12402,,389925,Europe,1
Hungary,806790,,29904,,724614,Europe,1
Iceland,6616,,30,,6543,Europe,1
Ireland,266504,,4941,,249509,Europe,1
Isle of Man,1599,,29,,1563,Europe,1
Italy,4243482,,126976,,3954097,Europe,1
Latvia,135940,,2451,,130548,Europe,1
Liechtenstein,3026,,59,,2948,Europe,1
Lithuania,277746,117,4339,3,263362,Europe,0
Luxembourg,70406,,818,,68943,Europe,1
Malta,30581,,419,,30100,Europe,1
Moldova,255758,,6152,,248594,Europe,1
Monaco,2524,,33,,2473,Europe,1
Montenegro,99928,,1598,,97889,Europe,1
Netherlands,1671703,,17709,,1566058,Europe,1
North Macedonia,155528,,5471,,149619,Europe,1
Norway,127986,,789,,88952,Europe,1
Poland,2877469,227,74573,11,2648504,Europe,0
Portugal,856740,,17045,,815094,Europe,1
Romania,1079657,,31804,,1044000,Europe,1
Russia,5208687,14723,126430,357,4801335,Europe,0
San Marino,5090,,90,,4998,Europe,1
Serbia,714753,,6958,,703364,Europe,1
Slovakia,391026,42,12439,3,377254,Europe,0
Slovenia,256443,91,4404,3,249232,Europe,0
Spain,3733600,,80501,,3509730,Europe,0
Sweden,1083456,,14537,,1022457,Europe,1
Switzerland,700051,,10859,,666384,Europe,1
UK,4558494,,127896,,4286165,Europe,1
Ukraine,2223558,857,51679,33,2127337,Europe,0
Vatican City,27,,,,27,Europe,0
