Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Algeria,4.552814172921466,2.6972293427597176,3.1179338350396413,1.0,4.396548037987132,Africa,True
Angola,3.225050696138049,0.8450980400142568,1.8920946026904804,0.47712125471966244,2.7551122663950713,Africa,True
Benin,3.286905352972375,,1.5797835966168101,,3.2041199826559246,Africa,True
Botswana,2.905256048748451,,0.3010299956639812,,1.7993405494535817,Africa,True
Burkina Faso,3.0806264869218056,1.462397997898956,1.7323937598229686,,2.9929950984313414,Africa,True
Burundi,2.61066016308988,,0.0,,2.4983105537896004,Africa,True
Cabo Verde,3.4560622244549513,,1.505149978319906,,3.319314304090512,Africa,True
Cameroon,4.256284678484161,,2.59659709562646,,4.185258765296585,Africa,True
Central African Republic,3.66661156841903,,1.7781512503836436,,3.2357808703275603,Africa,True
Chad,2.975431808509263,0.0,1.8808135922807914,,2.9258275746247424,Africa,True
Comoros,2.6009728956867484,,0.8450980400142568,,2.56702636615906,Africa,True
DR Congo,3.977220446635385,1.5440680443502757,2.3502480183341627,,3.92236209678479,Africa,True
Djibouti,3.728110184100341,0.47712125471966244,1.7708520116421442,,3.709269960975831,Africa,True
Egypt,4.980757615561402,2.2405492482826,3.7019994748896368,1.414973347970818,4.730612722422061,Africa,False
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,True
Eritrea,2.45484486000851,,,,2.3891660843645326,Africa,False
Eswatini,3.5100085129402347,,1.7634279935629373,,3.2060158767633444,Africa,True
Ethiopia,4.372746350604846,2.888179493918325,2.6232492903979003,1.1139433523068367,4.017492446477275,Africa,True
Gabon,3.8988896559265864,,1.7075701760979363,,3.756179516843809,Africa,True
Gambia,3.0916669575956846,,1.3617278360175928,,2.3443922736851106,Africa,True
Ghana,4.61502369115374,2.3201462861110542,2.3324384599156054,,4.58801385552188,Africa,True
Guinea,3.8992731873176036,,1.6989700043360187,,3.838723190031372,Africa,True
Guinea-Bissau,3.3121773564397787,,1.462397997898956,,2.974971994298069,Africa,True
Ivory Coast,4.223106380928587,,2.0211892990699383,,4.111464151586654,Africa,True
Kenya,4.430204098631749,2.69196510276736,2.6263403673750423,0.47712125471966244,4.1301728888925355,Africa,True
Lesotho,2.870403905279027,,1.3617278360175928,,2.2430380486862944,Africa,True
Liberia,3.093421685162235,0.47712125471966244,1.8976270912904414,,2.8603380065709936,Africa,True
Libya,3.7364761820276966,,2.0755469613925306,,2.8457180179666586,Africa,True
Madagascar,4.120639728415567,2.0644579892269186,2.1789769472931693,0.47712125471966244,4.041826762637544,Africa,True
Malawi,3.668199484198662,,2.164352855784437,,3.3756636139608855,Africa,True
Mali,3.4104397862103464,0.7781512503836436,2.0969100130080562,,3.2942457161381182,Africa,True
Mauritania,3.8144473785224875,,2.1958996524092336,,3.7424894645817752,Africa,True
Mauritius,2.53655844257153,,1.0,,2.5237464668115646,Africa,True
Mayotte,3.4868553552769432,,1.591064607026499,,3.452553063228925,Africa,True
Morocco,4.532282894538802,2.9169800473203824,2.7126497016272113,1.255272505103306,4.389591307455197,Africa,True
Mozambique,3.382197210377454,2.1522883443830563,1.2041199826559248,,2.934498451243568,Africa,True
Namibia,3.4915017662373264,2.1818435879447726,1.2787536009528289,,2.8543060418010806,Africa,True
Niger,3.0637085593914173,,1.8388490907372552,,3.024074987307426,Africa,True
Nigeria,4.668171512420993,,2.975431808509263,,4.52095490885281,Africa,True
Rwanda,3.3328422669943514,1.0791812460476249,0.8450980400142568,,3.1436392352745433,Africa,True
Réunion,2.8369567370595505,,0.6989700043360189,,2.8000293592441343,Africa,True
Senegal,4.053539396452824,2.1367205671564067,2.3729120029701067,0.6020599913279624,3.8686444383948255,Africa,True
Seychelles,2.100370545117563,,,,2.0969100130080562,Africa,False
Sierra Leone,3.2826221128780624,0.0,1.8388490907372552,0.0,3.1604685311190375,Africa,True
Somalia,3.508798965403905,,1.968482948553935,,3.2375437381428744,Africa,True
South Africa,5.75096944329022,3.5727554651542195,4.026165408839252,2.3283796034387376,5.6203442997544935,Africa,False
South Sudan,3.392696953259666,,1.6720978579357175,,3.070037866607755,Africa,True
Sudan,4.0775859063672435,,2.8926510338773004,,3.7969903905456865,Africa,True
São Tomé and Príncipe,2.9434945159061026,,1.1760912590556813,,2.9030899869919438,Africa,True
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,True
Togo,3.0253058652647704,,1.3617278360175928,,2.8627275283179747,Africa,True
Tunisia,3.2347702951609163,1.3010299956639813,1.7075701760979363,,3.1020905255118367,Africa,True
Uganda,3.11293997608408,1.146128035678238,0.9542425094393249,0.3010299956639812,3.0557604646877348,Africa,True
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,True
Zambia,3.9143431571194407,2.0969100130080562,2.3820170425748683,0.7781512503836436,3.8326366275967034,Africa,True
Zimbabwe,3.6765107102825536,1.99563519459755,2.0170333392987803,,3.182984967003582,Africa,True
