Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Algeria,4.5587565562226136,,3.1212314551496214,,4.402484922073764,Africa,1
Angola,3.2392994791268923,,1.9030899869919435,,2.7596678446896306,Africa,1
Benin,3.3012470886362113,,1.5797835966168101,,3.225567713439471,Africa,1
Botswana,3.0277572046905536,,0.3010299956639812,,1.9030899869919435,Africa,1
Burkina Faso,3.0831441431430524,,1.7323937598229686,,2.99563519459755,Africa,1
Burundi,2.61066016308988,,0.0,,2.4983105537896004,Africa,1
Cabo Verde,3.4653828514484184,,1.5185139398778875,,3.332034277027518,Africa,1
Cameroon,4.260381487592611,,2.5998830720736876,,4.185258765296585,Africa,1
Central African Republic,3.6669857183296606,,1.7853298350107671,,3.2362852774480286,Africa,1
Chad,2.975891136401793,,1.8808135922807914,,2.9339931638312424,Africa,1
Comoros,2.6009728956867484,,0.8450980400142568,,2.578639209968072,Africa,1
DR Congo,3.979457318097848,1.591064607026499,2.3521825181113627,,3.9253636673541017,Africa,1
Djibouti,3.7281913985899466,,1.7708520116421442,,3.710371264260763,Africa,1
Egypt,4.981519615474483,,3.7040646794085674,,4.739477406318355,Africa,1
Equatorial Guinea,3.683137131483007,,1.919078092376074,,3.338854746252323,Africa,1
Eritrea,2.45484486000851,,,,2.3944516808262164,Africa,0
Eswatini,3.5327543789924976,,1.7993405494535817,,3.2355284469075487,Africa,1
Ethiopia,4.383366482755039,,2.6434526764861874,,4.029221394253928,Africa,1
Gabon,3.9034155857690864,,1.7075701760979363,,3.7651467901080253,Africa,1
Gambia,3.1290450598879582,,1.505149978319906,,2.3560258571931225,Africa,1
Ghana,4.617042299913444,,2.3324384599156054,,4.591676642141684,Africa,1
Guinea,3.9040660519145027,,1.6989700043360187,,3.846337112129805,Africa,1
Guinea-Bissau,3.3197304943302246,,1.462397997898956,,3.0064660422492318,Africa,1
Ivory Coast,4.226522575863549,,2.0211892990699383,,4.124536828301277,Africa,1
Kenya,4.438146636246748,,2.6414741105040997,,4.141982515552804,Africa,1
Lesotho,2.8926510338773004,,1.380211241711606,,2.2430380486862944,Africa,1
Liberia,3.0969100130080562,,1.9084850188786497,,2.866877814337499,Africa,1
Libya,3.799478398837981,,2.12057393120585,,2.8692317197309762,Africa,1
Madagascar,4.124406399745029,,2.1818435879447726,,4.052155067199565,Africa,1
Malawi,3.673389578188305,,2.1818435879447726,,3.3939260065858368,Africa,1
Mali,3.4111144185509046,,2.0969100130080562,,3.295127085252191,Africa,1
Mauritania,3.8194123112093252,,2.1958996524092336,,3.756179516843809,Africa,1
Mauritius,2.53655844257153,,1.0,,2.5237464668115646,Africa,1
Mayotte,3.4900990050633047,,1.591064607026499,,3.452553063228925,Africa,1
Morocco,4.546480969539267,,2.7267272090265724,,4.404577167740624,Africa,1
Mozambique,3.394626764272209,,1.2304489213782739,,2.9590413923210934,Africa,1
Namibia,3.5090680450171616,,1.2787536009528289,,2.8543060418010806,Africa,1
Niger,3.0637085593914173,,1.8388490907372552,,3.0273496077747564,Africa,1
Nigeria,4.6747693140154265,,2.9804578922761,,4.526455590691946,Africa,1
Rwanda,3.3366598234544202,,0.8450980400142568,,3.1696744340588068,Africa,1
Réunion,2.846337112129805,,0.6989700043360189,,2.8000293592441343,Africa,1
Senegal,4.0639710069647625,2.315970345456918,2.383815365980431,0.6020599913279624,3.8763910618191875,Africa,0
Seychelles,2.103803720955957,,,,2.100370545117563,Africa,0
Sierra Leone,3.2860071220794747,,1.8388490907372552,,3.1696744340588068,Africa,1
Somalia,3.508798965403905,,1.968482948553935,,3.2375437381428744,Africa,1
South Africa,5.752900059352474,,4.031448861859383,,5.629537014236948,Africa,1
South Sudan,3.3930484664167784,,1.6720978579357175,,3.070037866607755,Africa,1
Sudan,4.080373916701309,,2.895422546039408,,3.798097932062486,Africa,1
São Tomé and Príncipe,2.9449759084120477,,1.1760912590556813,,2.905256048748451,Africa,1
Tanzania,2.7067177823367587,,1.3222192947339193,,2.2624510897304293,Africa,1
Togo,3.0293837776852097,,1.414973347970818,,2.876217840591642,Africa,1
Tunisia,3.2400497721126476,,1.7160033436347992,,3.104487111312395,Africa,1
Uganda,3.118264726089479,,0.9542425094393249,,3.056142262059052,Africa,1
Western Sahara,1.0,,0.0,,0.9030899869919435,Africa,1
Zambia,3.9177680024477564,,2.3820170425748683,,3.8453461374114086,Africa,1
Zimbabwe,3.6828667956623247,,2.0170333392987803,,3.188647295999717,Africa,1
